,donor,transconjugant
254,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}"
255,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}"
256,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}"
257,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}"
258,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}"
259,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_plasmid_molecule': 1}"
260,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}"
261,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_plasmid_molecule': 1}"
262,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}"
263,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}"
264,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_plasmid_molecule': 1}"
265,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}"
266,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}"
267,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}"
268,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}"
269,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}"
270,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}"
271,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}"
272,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}"
273,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}"
274,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}"
275,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}"
276,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}"
277,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}"
278,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}"
279,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}"
280,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}"
281,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}"
282,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_plasmid_molecule': 1}"
283,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}"
284,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_plasmid_molecule': 1}"
285,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_plasmid_molecule': 1}"
286,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}"
287,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}"
288,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}"
289,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}"
290,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}"
291,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_plasmid_molecule': 1}"
292,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_plasmid_molecule': 1}"
293,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}"
294,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_plasmid_molecule': 1}"
295,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}"
296,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 6, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}"
